Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par EPCI,,,,
,,,,
,,,,
Siren EPCI,Champ,T3 2017,T4 2017,T1 2018
200034601,Catégorie,0,0,0
200034635,Locaux Raccordables,0,0,0
200034635,Catégorie,0,0,0
200034692,Locaux Raccordables,655,755,1067
200034692,Catégorie,5,5,5
200034700,Locaux Raccordables,2660,2924,3761
200034700,Catégorie,5,5,5
200034718,Locaux Raccordables,0,0,0
200034718,Catégorie,0,0,0
200034726,Locaux Raccordables,0,0,0
200034726,Catégorie,0,0,0
200034825,Locaux Raccordables,1738,1773,1773
200034825,Catégorie,5,5,5
200034833,Locaux Raccordables,0,0,0
200034833,Catégorie,0,0,0
200034874,Locaux Raccordables,0,0,0
200034874,Catégorie,0,0,0
200034882,Locaux Raccordables,1740,1740,1740
200034882,Catégorie,5,5,5
200034957,Locaux Raccordables,0,0,0
200034957,Catégorie,0,0,0
200035087,Locaux Raccordables,0,0,0
200035087,Catégorie,0,0,0
200035103,Locaux Raccordables,0,0,0
200035103,Catégorie,0,0,0
200035111,Locaux Raccordables,0,0,0
200035111,Catégorie,0,0,0
200035129,Locaux Raccordables,0,0,0
200035129,Catégorie,0,0,0
200035137,Locaux Raccordables,0,0,0
200035137,Catégorie,0,0,0
200035202,Locaux Raccordables,3993,5655,5554
200035202,Catégorie,25,25,25
200035319,Locaux Raccordables,15735,17065,17793
200035319,Catégorie,10,10,10
200035327,Locaux Raccordables,0,0,0
200035327,Catégorie,0,0,0
200035442,Locaux Raccordables,0,0,0
200035442,Catégorie,0,0,0
200035459,Locaux Raccordables,4828,6128,6926
200035459,Catégorie,5,10,10
200035533,Locaux Raccordables,0,0,0
200035533,Catégorie,0,0,0
200035541,Locaux Raccordables,0,0,0
200035541,Catégorie,0,0,0
200035632,Locaux Raccordables,0,0,0
200035632,Catégorie,0,0,0
200035665,Locaux Raccordables,3549,3603,3627
200035665,Catégorie,10,10,10
200035707,Locaux Raccordables,0,0,0
200035707,Catégorie,0,0,0
200035715,Locaux Raccordables,10361,10770,11430
200035715,Catégorie,10,10,10
200035723,Locaux Raccordables,0,0,0
200035723,Catégorie,0,0,0
200035731,Locaux Raccordables,20960,25405,29618
200035731,Catégorie,25,25,50
200035756,Locaux Raccordables,0,0,0
200035756,Catégorie,0,0,0
200035764,Locaux Raccordables,0,0,0
200035764,Catégorie,0,0,0
200035772,Locaux Raccordables,0,0,0
200035772,Catégorie,0,0,0
200035814,Locaux Raccordables,330,1466,2369
200035814,Catégorie,5,5,5
200035848,Locaux Raccordables,0,0,0
200035848,Catégorie,0,0,0
200035855,Locaux Raccordables,0,0,0
200035855,Catégorie,0,0,0
200035863,Locaux Raccordables,0,0,0
200035863,Catégorie,0,0,0
200035970,Locaux Raccordables,0,0,0
200035970,Catégorie,0,0,0
200036069,Locaux Raccordables,0,0,0
200036069,Catégorie,0,0,0
200036077,Locaux Raccordables,0,0,0
200036077,Catégorie,0,0,0
200036135,Locaux Raccordables,0,0,0
200036135,Catégorie,0,0,0
200036150,Locaux Raccordables,0,0,0
200036150,Catégorie,0,0,0
200036465,Locaux Raccordables,0,844,1496
200036465,Catégorie,0,5,5
200036473,Locaux Raccordables,3308,4133,4378
200036473,Catégorie,5,10,10
200036499,Locaux Raccordables,0,0,31
200036499,Catégorie,0,0,5
200036523,Locaux Raccordables,0,0,0
200036523,Catégorie,0,0,0
200036549,Locaux Raccordables,0,0,0
200036549,Catégorie,0,0,0
200036572,Locaux Raccordables,0,0,0
200036572,Catégorie,0,0,0
200037059,Locaux Raccordables,0,0,0
200037059,Catégorie,0,0,0
200037133,Locaux Raccordables,4754,5515,7986
200037133,Catégorie,25,25,25
200038958,Locaux Raccordables,0,0,0
200038958,Catégorie,0,0,0
200038990,Locaux Raccordables,0,0,0
200038990,Catégorie,0,0,0
200039022,Locaux Raccordables,2069,2249,2876
200039022,Catégorie,5,5,5
200039055,Locaux Raccordables,0,0,0
200039055,Catégorie,0,0,0
200039063,Locaux Raccordables,0,0,0
200039063,Catégorie,0,0,0
200039204,Locaux Raccordables,0,0,0
200039204,Catégorie,0,0,0
200039519,Locaux Raccordables,0,0,0
200039519,Catégorie,0,0,0
200039642,Locaux Raccordables,0,0,0
200039642,Catégorie,0,0,0
200039709,Locaux Raccordables,0,0,0
200039709,Catégorie,0,0,0
200039758,Locaux Raccordables,0,0,0
200039758,Catégorie,0,0,0
200039808,Locaux Raccordables,0,0,0
200039808,Catégorie,0,0,0
200039824,Locaux Raccordables,0,0,0
200039824,Catégorie,0,0,0
200039832,Locaux Raccordables,0,0,0
200039832,Catégorie,0,0,0
200039857,Locaux Raccordables,3267,3675,4730
200039857,Catégorie,5,5,5
200039865,Locaux Raccordables,78376,79828,81958
200039865,Catégorie,50,50,50
200039907,Locaux Raccordables,0,0,0
200039907,Catégorie,0,0,0
200039915,Locaux Raccordables,54863,57099,62113
200039915,Catégorie,25,25,25
200039931,Locaux Raccordables,0,0,0
200039931,Catégorie,0,0,0
200039949,Locaux Raccordables,10429,10466,10497
200039949,Catégorie,25,25,25
200040038,Locaux Raccordables,0,0,0
200040038,Catégorie,0,0,0
200040095,Locaux Raccordables,0,0,0
200040095,Catégorie,0,0,0
200040111,Locaux Raccordables,0,0,0
200040111,Catégorie,0,0,0
200040137,Locaux Raccordables,0,0,0
200040137,Catégorie,0,0,0
200040178,Locaux Raccordables,0,0,0
200040178,Catégorie,0,0,0
200040202,Locaux Raccordables,0,0,0
200040202,Catégorie,0,0,0
200040210,Locaux Raccordables,0,0,0
200040210,Catégorie,0,0,0
200040244,Locaux Raccordables,0,0,0
200040244,Catégorie,0,0,0
200040251,Locaux Raccordables,0,569,1697
200040251,Catégorie,0,5,10
200040277,Locaux Raccordables,14868,20695,23033
200040277,Catégorie,25,25,25
200040293,Locaux Raccordables,0,0,0
200040293,Catégorie,0,0,0
200040350,Locaux Raccordables,1890,1927,2081
200040350,Catégorie,5,10,10
200040384,Locaux Raccordables,0,0,0
200040384,Catégorie,0,0,0
200040392,Locaux Raccordables,2628,3895,4463
200040392,Catégorie,5,5,5
200040400,Locaux Raccordables,0,0,0
200040400,Catégorie,0,0,0
200040418,Locaux Raccordables,0,0,0
200040418,Catégorie,0,0,0
200040426,Locaux Raccordables,0,643,643
200040426,Catégorie,0,5,5
200040442,Locaux Raccordables,2209,4012,6468
200040442,Catégorie,5,10,10
200040459,Locaux Raccordables,7643,8253,9504
200040459,Catégorie,10,10,25
200040475,Locaux Raccordables,12,12,12
200040475,Catégorie,5,5,5
200040491,Locaux Raccordables,0,0,0
200040491,Catégorie,0,0,0
200040509,Locaux Raccordables,0,0,0
200040509,Catégorie,0,0,0
200040558,Locaux Raccordables,0,0,0
200040558,Catégorie,0,0,0
200040566,Locaux Raccordables,0,0,0
200040566,Catégorie,0,0,0
200040574,Locaux Raccordables,0,0,0
200040574,Catégorie,0,0,0
200040590,Locaux Raccordables,10022,10594,11384
200040590,Catégorie,25,25,25
200040624,Locaux Raccordables,3659,3700,3700
200040624,Catégorie,10,10,10
200040657,Locaux Raccordables,0,0,0
200040657,Catégorie,0,0,0
200040681,Locaux Raccordables,2816,2868,2869
