Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de l'EPCI,,,
,,,
,,,
Siren EPCI,Nom EPCI,Logements,Établissements
200035541,CC des Landes d'Armagnac, 6 282    , 327    
200035632,CC Armagnac Adour, 3 985    , 307    
200035665,CA Seine Eure, 30 897    , 1 587    
200035707,CC Piège Lauragais Malepère, 8 652    , 388    
200035715,CA Carcassonne Agglo, 61 084    , 3 436    
200035723,CC Ventoux Sud, 5 791    , 183    
200035731,CA Roannais Agglomération, 54 102    , 2 867    
200035756,CC Astarac Arros en Gascogne, 3 933    , 215    
200035764,CC de la Beauce Loirétaine, 7 001    , 364    
200035772,CC du Pays du Saintois, 6 712    , 349    
200035814,CA Flers Agglo, 29 023    , 1 422    
200035848,CC du Châtillonnais en Berry, 3 965    , 205    
200035855,CC Castelnaudary Lauragais Audois, 13 254    , 770    
200035863,"CC Région Lézignanaise, Corbières et Minervois", 19 667    , 895    
200035970,CC Vexin Centre, 10 206    , 669    
200036069,CC du Pays de Mortagne-au-Perche, 8 528    , 492    
200036077,CC du Golfe de Saint-Tropez, 71 267    , 3 415    
200036135,CC Coeur de France, 11 513    , 578    
200036150,CC des Hauts du Val de Saône, 5 864    , 278    
200036465,CC de Thann-Cernay, 17 578    , 1 017    
200036473,CA de Saintes, 31 844    , 1 932    
200036499,CC de Marana-Golo, 12 422    , 1 081    
200036523,CC des Bastides en Haut-Agenais Périgord, 10 757    , 564    
200036549,CC Val de Gray, 10 816    , 626    
200036572,CC Porte d'Aquitaine en Pays de Serres, 2 915    , 110    
200037059,CC de la Haute Somme (Combles - Péronne - Roisel), 13 704    , 787    
200037133,CC du Provinois, 16 313    , 920    
200038958,CC de la Pieve de l'Ornano, 13 143    , 451    
200038990,CC de Saint-Méen Montauban, 11 643    , 594    
200039022,CA Vitré Communauté, 34 897    , 2 092    
200039055,CC Ouche et Montagne, 5 292    , 197    
200039063,"CC Forêts, Seine et Suzon", 3 274    , 153    
200039204,CC de Lacq-Orthez, 26 189    , 1 555    
200039519,CC du Quercy Blanc, 5 179    , 215    
200039642,CC Le Tonnerrois en Bourgogne, 10 876    , 498    
200039709,CC du Serein, 5 090    , 199    
200039758,"CC Avallon, Vézelay, Morvan", 13 337    , 693    
200039808,CC des Gorges de l'Ardèche, 13 066    , 487    
200039824,CC Ardèche des Sources et Volcans, 7 837    , 208    
