Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par Commune,,,,
,,,,
,,,,
Code commune,Champ,T3 2017,T4 2017,T1 2018
01099,Locaux Raccordables,554,518,518
01099,Catégorie,50,50,50
01100,Locaux Raccordables,0,0,0
01100,Catégorie,0,0,0
01101,Locaux Raccordables,0,0,0
01101,Catégorie,0,0,0
01102,Locaux Raccordables,0,0,0
01102,Catégorie,0,0,0
01103,Locaux Raccordables,420,442,446
01103,Catégorie,50,50,50
01104,Locaux Raccordables,187,186,186
01104,Catégorie,25,25,25
01105,Locaux Raccordables,560,572,570
01105,Catégorie,80,80,80
01106,Locaux Raccordables,0,0,0
01106,Catégorie,0,0,0
01107,Locaux Raccordables,0,0,0
01107,Catégorie,0,0,0
01108,Locaux Raccordables,0,0,0
01108,Catégorie,0,0,0
01109,Locaux Raccordables,548,624,624
01109,Catégorie,50,50,50
01110,Locaux Raccordables,0,0,0
01110,Catégorie,0,0,0
01111,Locaux Raccordables,0,0,0
01111,Catégorie,0,0,0
01112,Locaux Raccordables,0,0,0
01112,Catégorie,0,0,0
01113,Locaux Raccordables,0,0,0
01113,Catégorie,0,0,0
01114,Locaux Raccordables,221,218,218
01114,Catégorie,80,80,80
01115,Locaux Raccordables,378,380,380
01115,Catégorie,50,50,50
01116,Locaux Raccordables,0,0,0
01116,Catégorie,0,0,0
01117,Locaux Raccordables,90,91,91
01117,Catégorie,80,80,80
01118,Locaux Raccordables,502,513,509
01118,Catégorie,50,50,50
01121,Locaux Raccordables,0,0,0
01121,Catégorie,0,0,0
01122,Locaux Raccordables,373,375,376
01122,Catégorie,80,80,80
01123,Locaux Raccordables,470,473,481
01123,Catégorie,80,80,80
01124,Locaux Raccordables,325,325,324
01124,Catégorie,80,80,80
01125,Locaux Raccordables,0,0,0
01125,Catégorie,0,0,0
01127,Locaux Raccordables,0,0,0
01127,Catégorie,0,0,0
01128,Locaux Raccordables,13,13,13
01128,Catégorie,5,5,5
01129,Locaux Raccordables,95,99,99
01129,Catégorie,50,50,50
01130,Locaux Raccordables,596,599,608
01130,Catégorie,80,80,80
01133,Locaux Raccordables,0,0,0
01133,Catégorie,0,0,0
01134,Locaux Raccordables,690,693,692
01134,Catégorie,80,80,80
01135,Locaux Raccordables,822,876,879
01135,Catégorie,80,80,80
01136,Locaux Raccordables,262,263,264
01136,Catégorie,50,50,50
01138,Locaux Raccordables,174,175,174
01138,Catégorie,10,10,10
01139,Locaux Raccordables,0,0,0
01139,Catégorie,0,0,0
01140,Locaux Raccordables,331,332,331
01140,Catégorie,80,80,80
01141,Locaux Raccordables,0,0,0
01141,Catégorie,0,0,0
01142,Locaux Raccordables,73,76,78
01142,Catégorie,5,5,5
01143,Locaux Raccordables,2250,2428,2448
01143,Catégorie,25,25,25
01145,Locaux Raccordables,0,0,0
01145,Catégorie,0,0,0
01146,Locaux Raccordables,0,0,175
01146,Catégorie,0,0,80
01147,Locaux Raccordables,0,0,196
01147,Catégorie,0,0,80
01148,Locaux Raccordables,0,0,0
01148,Catégorie,0,0,0
01149,Locaux Raccordables,0,0,0
01149,Catégorie,0,0,0
01150,Locaux Raccordables,0,0,114
01150,Catégorie,0,0,80
01151,Locaux Raccordables,416,422,418
01151,Catégorie,50,50,50
01152,Locaux Raccordables,0,0,0
01152,Catégorie,0,0,0
01153,Locaux Raccordables,800,817,864
01153,Catégorie,80,80,80
01154,Locaux Raccordables,0,0,0
01154,Catégorie,0,0,0
01155,Locaux Raccordables,0,0,0
01155,Catégorie,0,0,0
01156,Locaux Raccordables,313,324,319
01156,Catégorie,80,80,80
01157,Locaux Raccordables,0,0,0
01157,Catégorie,0,0,0
01158,Locaux Raccordables,160,239,241
01158,Catégorie,25,50,50
01159,Locaux Raccordables,570,570,570
01159,Catégorie,25,25,25
01160,Locaux Raccordables,1859,2061,2086
01160,Catégorie,25,25,25
01162,Locaux Raccordables,41,42,41
01162,Catégorie,80,80,80
01163,Locaux Raccordables,0,0,0
01163,Catégorie,0,0,0
01165,Locaux Raccordables,345,350,504
01165,Catégorie,50,50,80
01166,Locaux Raccordables,0,0,0
01166,Catégorie,0,0,0
01167,Locaux Raccordables,271,272,272
01167,Catégorie,80,80,80
01169,Locaux Raccordables,249,252,254
01169,Catégorie,80,80,80
01170,Locaux Raccordables,12,12,12
01170,Catégorie,5,5,5
01171,Locaux Raccordables,0,0,0
01171,Catégorie,0,0,0
01173,Locaux Raccordables,3892,4018,4166
01173,Catégorie,50,50,50
01174,Locaux Raccordables,129,144,143
01174,Catégorie,80,80,80
01175,Locaux Raccordables,298,299,298
01175,Catégorie,50,50,50
01177,Locaux Raccordables,0,0,0
01177,Catégorie,0,0,0
01179,Locaux Raccordables,830,830,830
01179,Catégorie,80,80,80
01180,Locaux Raccordables,272,279,279
01180,Catégorie,50,50,50
01181,Locaux Raccordables,0,0,0
01181,Catégorie,0,0,0
